"keys","en","zh_CN","zh_TW","ja","es_ES","es_419","pt_BR","pt_PT","fr","de","da","id","nb","sv","nl","vi","ms","ko","ru","uk","_id","_group","_note"
"Settings_ExportDiagnosticsSuccess","Exported to: {0}","已导出到：{0}","已匯出至：{0}","エクスポート先：{0}","Exportado a: {0}","Exportado a: {0}","Exportado para: {0}","Exportado para: {0}","Exporté vers : {0}","Exportiert nach: {0}","Eksporteret til: {0}","Diekspor ke: {0}","Eksportert til: {0}","Exporterad till: {0}","Geëxporteerd naar: {0}","Đã xuất tới: {0}","Dieksport ke: {0}","내보낸 위치: {0}","Экспортировано в: {0}","Експортовано до: {0}","100055","Settings","诊断包导出成功提示"
"Settings_ExportDiagnosticsFailed","Export failed. Please try again.","导出失败，请重试。","匯出失敗，請重試。","エクスポートに失敗しました。もう一度お試しください。","Error al exportar. Inténtalo de nuevo.","Error al exportar. Inténtalo de nuevo.","Falha ao exportar. Tente novamente.","Falha ao exportar. Tente novamente.","Échec de l’exportation. Veuillez réessayer.","Export fehlgeschlagen. Bitte erneut versuchen.","Eksport mislykkedes. Prøv igen.","Ekspor gagal. Silakan coba lagi.","Eksporten mislyktes. Prøv igjen.","Exporten misslyckades. Försök igen.","Exporteren mislukt. Probeer het opnieuw.","Xuất thất bại. Vui lòng thử lại.","Eksport gagal. Sila cuba lagi.","내보내기에 실패했습니다. 다시 시도해 주세요.","Не удалось экспортировать. Попробуйте ещё раз.","Не вдалося експортувати. Спробуйте ще раз.","100056","Settings","诊断包导出失败提示"
"Settings_UpdateGame","Update Game","更新游戏","更新遊戲","ゲームを更新","Actualizar juego","Actualizar juego","Atualizar jogo","Atualizar jogo","Mettre à jour le jeu","Spiel aktualisieren","Opdater spil","Perbarui game","Oppdater spillet","Uppdatera spelet","Spel bijwerken","Cập nhật trò chơi","Kemas kini permainan","게임 업데이트","Обновить игру","Оновити гру","100057","Settings","更新游戏按钮完整文案"
"Settings_Update","Update","更新","更新","更新","Actualizar","Actualizar","Atualizar","Atualizar","Mettre à jour","Aktualisieren","Opdater","Perbarui","Oppdater","Uppdatera","Bijwerken","Cập nhật","Kemas kini","업데이트","Обновить","Оновити","100061","Settings","更新游戏按钮空间不足时的短文案"
"Settings_UpdateAndRestartUnavailable","Connect to Steam to update and restart.","连接 Steam 后才能更新并重启。","連線至 Steam 後才能更新並重新啟動。","Steamに接続すると更新して再起動できます。","Conéctate a Steam para actualizar y reiniciar.","Conéctate a Steam para actualizar y reiniciar.","Conecte-se à Steam para atualizar e reiniciar.","Liga-te à Steam para atualizar e reiniciar.","Connectez-vous à Steam pour mettre à jour et redémarrer.","Mit Steam verbinden, um zu aktualisieren und neu zu starten.","Opret forbindelse til Steam for at opdatere og genstarte.","Hubungkan ke Steam untuk memperbarui dan memulai ulang.","Koble til Steam for å oppdatere og starte på nytt.","Anslut till Steam för att uppdatera och starta om.","Maak verbinding met Steam om bij te werken en opnieuw te starten.","Kết nối với Steam để cập nhật và khởi động lại.","Sambung ke Steam untuk mengemas kini dan mula semula.","Steam에 연결해야 업데이트 후 다시 시작할 수 있습니다.","Подключитесь к Steam, чтобы обновить игру и перезапустить её.","Під’єднайтеся до Steam, щоб оновити гру й перезапустити її.","100058","Settings","更新重启入口不可用提示"
"Settings_UpdateAndRestartPreparing","Saving and handing control to Steam…","正在保存并将启动交给 Steam…","正在儲存並將啟動交給 Steam…","保存してSteamに制御を渡しています…","Guardando y transfiriendo el control a Steam…","Guardando y transfiriendo el control a Steam…","Salvando e transferindo o controle para a Steam…","A guardar e a transferir o controlo para a Steam…","Enregistrement et transfert du contrôle à Steam…","Speichern und Übergabe an Steam…","Gemmer og overdrager kontrollen til Steam…","Menyimpan dan menyerahkan kendali ke Steam…","Lagrer og overfører kontrollen til Steam…","Sparar och överlämnar kontrollen till Steam…","Opslaan en de besturing overdragen aan Steam…","Đang lưu và chuyển quyền điều khiển cho Steam…","Menyimpan dan menyerahkan kawalan kepada Steam…","저장하고 Steam에 실행을 넘기는 중…","Сохраняем данные и передаём запуск Steam…","Зберігаємо дані й передаємо запуск Steam…","100059","Settings","更新重启执行中提示"
"Settings_UpdateAndRestartFailed","Update and restart failed: {0}","更新并重启失败：{0}","更新並重新啟動失敗：{0}","更新と再起動に失敗しました：{0}","Error al actualizar y reiniciar: {0}","Error al actualizar y reiniciar: {0}","Falha ao atualizar e reiniciar: {0}","Falha ao atualizar e reiniciar: {0}","Échec de la mise à jour et du redémarrage : {0}","Aktualisieren und Neustart fehlgeschlagen: {0}","Opdatering og genstart mislykkedes: {0}","Gagal memperbarui dan memulai ulang: {0}","Oppdatering og omstart mislyktes: {0}","Uppdatering och omstart misslyckades: {0}","Bijwerken en opnieuw starten mislukt: {0}","Cập nhật và khởi động lại thất bại: {0}","Kemas kini dan mula semula gagal: {0}","업데이트 후 다시 시작하지 못했습니다: {0}","Не удалось обновить и перезапустить игру: {0}","Не вдалося оновити й перезапустити гру: {0}","100060","Settings","更新重启失败提示"
"RecoveredItems_Title","Your dog found some items it hadn't had a chance to tell you about yet","小狗帮你找回了一些还没来得及告诉你的物品","狗狗幫你找回了還沒來得及告訴你的物品","ワンちゃんが、まだお伝えできていなかったアイテムを見つけてくれました","Tu perro encontró objetos que aún no te había mostrado","Tu perro encontró objetos que aún no te había mostrado","Seu cão encontrou itens que ainda não tinha conseguido mostrar","O teu cão encontrou itens que ainda não tinha conseguido mostrar","Votre chien a retrouvé des objets qu'il n'avait pas encore pu vous montrer","Dein Hund hat Gegenstände gefunden, die er dir noch nicht zeigen konnte","Din hund fandt ting, som den endnu ikke havde nået at vise dig","Anjingmu menemukan item yang belum sempat ia tunjukkan kepadamu","Hunden din fant ting den ikke rakk å vise deg","Din hund hittade föremål som den inte hann visa dig","Je hond vond items die hij je nog niet had kunnen laten zien","Cún đã tìm lại những vật phẩm chưa kịp báo cho bạn","Anjing anda menemukan item yang belum sempat ditunjukkannya","강아지가 아직 알려 주지 못한 아이템을 찾아왔어요","Пёсик нашёл предметы, о которых ещё не успел вам рассказать","Песик знайшов предмети, про які ще не встиг вам розповісти","300108","Wardrobe","找回物品弹层标题"
"RecoveredItems_Lead","Your dog found some items it did not get a chance to tell you about!","@empty","狗狗幫你找回了一些還沒來得及告訴你的物品！","ワンちゃんが、まだお知らせできていなかったアイテムを見つけてくれました！","¡Tu perro encontró objetos que aún no había podido mostrarte!","¡Tu perro encontró objetos que aún no había podido mostrarte!","Seu cão encontrou itens que ainda não tinha conseguido mostrar!","O teu cão encontrou itens que ainda não tinha conseguido mostrar!","Votre chien a retrouvé des objets qu'il n'avait pas encore pu vous montrer !","Dein Hund hat Gegenstände gefunden, die er dir noch nicht zeigen konnte!","Din hund fandt genstande, som den ikke nåede at vise dig!","Anjingmu menemukan item yang belum sempat ditunjukkan!","Hunden din fant gjenstander den ikke rakk å vise deg!","Din hund hittade föremål som den inte hann visa dig!","Je hond vond items die hij je nog niet had kunnen laten zien!","Chú chó đã tìm lại những vật phẩm chưa kịp báo cho bạn!","Anjing anda menemui item yang belum sempat ditunjukkan!","강아지가 아직 알려 주지 못했던 아이템을 찾아왔어요!","Пёсик нашёл предметы, о которых ещё не успел вам рассказать!","Песик знайшов предмети, про які ще не встиг вам розповісти!","300109","Wardrobe","找回物品弹层主文案"
"RecoveredItems_Detail","Network changes, asynchronous transactions, or signing in on another device may have prevented these items from being shown earlier.","这些物品可能因为网络波动、异步交易或在其他设备上登录，之前没来得及展示给你。","這些物品可能因為網路波動、非同步交易或在其他裝置上登入，之前沒來得及展示給你。","ネットワークの変動、非同期取引、別の端末でのログインなどにより、以前は表示できなかった可能性があります。","Es posible que no se mostraran antes por cambios de red, transacciones asíncronas o por iniciar sesión en otro dispositivo.","Es posible que no se mostraran antes por cambios de red, transacciones asíncronas o por iniciar sesión en otro dispositivo.","Oscilações de rede, transações assíncronas ou o login em outro dispositivo podem ter impedido a exibição desses itens.","Alterações de rede, transações assíncronas ou o início de sessão noutro dispositivo podem ter impedido a apresentação destes itens.","Des variations réseau, des transactions asynchrones ou une connexion sur un autre appareil ont peut-être empêché leur affichage.","Netzwerkschwankungen, asynchrone Transaktionen oder eine Anmeldung auf einem anderen Gerät könnten die frühere Anzeige verhindert haben.","Netværksændringer, asynkrone transaktioner eller login på en anden enhed kan have forhindret visningen tidligere.","Perubahan jaringan, transaksi asinkron, atau login di perangkat lain mungkin membuat item ini belum sempat ditampilkan.","Nettverksendringer, asynkrone transaksjoner eller innlogging på en annen enhet kan ha hindret tidligere visning.","Nätverksändringar, asynkrona transaktioner eller inloggning på en annan enhet kan ha hindrat tidigare visning.","Netwerkwijzigingen, asynchrone transacties of inloggen op een ander apparaat kunnen eerdere weergave hebben verhinderd.","Biến động mạng, giao dịch bất đồng bộ hoặc đăng nhập trên thiết bị khác có thể khiến các vật phẩm chưa được hiển thị trước đó.","Perubahan rangkaian, transaksi tak segerak atau log masuk pada peranti lain mungkin menghalang item ini daripada dipaparkan sebelum ini.","네트워크 변동, 비동기 거래 또는 다른 기기에서의 로그인 때문에 이전에 표시되지 못했을 수 있어요.","Сбои сети, асинхронные операции или вход на другом устройстве могли помешать показать их раньше.","Збої мережі, асинхронні операції або вхід на іншому пристрої могли завадити показати їх раніше.","300110","Wardrobe","找回物品弹层原因说明"
"RecoveredItems_Praise","Thank you, pup. You are the best!","谢谢小狗，小狗真棒！","謝謝狗狗，狗狗真棒！","ありがとう、ワンちゃん。えらい！","¡Gracias, perrito! ¡Eres genial!","¡Gracias, perrito! ¡Eres genial!","Obrigado, cãozinho. Você é demais!","Obrigado, cãozinho. És o melhor!","Merci, petit chien. Tu es formidable !","Danke, Hündchen. Du bist großartig!","Tak, lille hund. Du er fantastisk!","Terima kasih, anjing kecil. Kamu hebat!","Takk, lille venn. Du er best!","Tack, lilla hund. Du är bäst!","Bedankt, hondje. Je bent geweldig!","Cảm ơn cún nhé. Cún giỏi lắm!","Terima kasih, anak anjing. Kamu hebat!","고마워, 강아지야. 정말 최고야!","Спасибо, пёсик. Ты молодец!","Дякую, песику. Ти молодець!","300111","Wardrobe","找回物品弹层感谢文案"
"RecoveredItems_Confirm","Good dog!","小狗真棒！","狗狗真棒！","いい子だね！","¡Buen perrito!","¡Buen perrito!","Bom garoto!","Muito bem!","Bravo, toutou !","Braver Hund!","Dygtig hund!","Anjing baik!","Flink hund!","Duktig hund!","Braaf hondje!","Cún ngoan lắm!","Anjing baik!","착한 강아지!","Хороший пёсик!","Хороший песик!","300112","Wardrobe","找回物品弹层按钮文案"
"CollectionEvent_VictoryInProgressTitle","Lucky Dog Rise Demo Celebration","小狗来啦 Demo庆典","小狗來啦 Demo慶典","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Festival démo LDR","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","Lucky Dog Rise Demo Celebration","700001","CollectionEvent","庆典铭牌收集中标题"
"CollectionEvent_VictoryInProgressDetail","Complete the collection to claim ×{0} Victory Champagne","集齐庆典装扮，领取胜利香槟 ×{0}","集齊慶典裝扮，領取勝利香檳 ×{0}","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complétez la collection et recevez ×{0} champagnes","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","Complete the collection to claim ×{0} Victory Champagne","700002","CollectionEvent","庆典铭牌收集中说明"
"CollectionEvent_VictoryRevealingTitle","Demo celebration almost complete","Demo 庆典即将完成","Demo 慶典即將完成","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Festival démo bientôt terminé","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","Demo celebration almost complete","700003","CollectionEvent","庆典铭牌揭晓中标题"
"CollectionEvent_VictoryRevealingDetail","Revealing the final reward…","正在揭晓最后的奖励…","正在揭曉最後的獎勵…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Révélation de la dernière récompense…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","Revealing the final reward…","700004","CollectionEvent","庆典铭牌揭晓中说明"
"CollectionEvent_VictoryReadyTitle","Demo celebration complete!","恭喜您已完成 Demo 庆典！","恭喜您已完成 Demo 慶典！","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Festival démo terminé !","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","Demo celebration complete!","700005","CollectionEvent","庆典铭牌可领取标题"
"CollectionEvent_VictoryReadyDetail","Click here to claim ×{0} Victory Champagne","点击此处，领取胜利香槟 ×{0}","點擊此處，領取勝利香檳 ×{0}","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Cliquez ici pour recevoir ×{0} champagnes","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","Click here to claim ×{0} Victory Champagne","700006","CollectionEvent","庆典铭牌可领取说明"
"CollectionEvent_VictoryClaimedTitle","Demo celebration complete","Demo 庆典已完成","Demo 慶典已完成","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Festival démo terminé","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","Demo celebration complete","700007","CollectionEvent","庆典铭牌已领取标题"
"CollectionEvent_VictoryClaimedDetail","Reward claimed: ×{0} Victory Champagne","已领取胜利香槟 ×{0}","已領取勝利香檳 ×{0}","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Récompense reçue : ×{0} champagnes","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","Reward claimed: ×{0} Victory Champagne","700008","CollectionEvent","庆典铭牌已领取说明"
"CollectionEvent_ActivityInfoTitle","About the Demo","Demo说明","Demo 說明","デモについて","Acerca de la demo","Acerca de la demo","Sobre a demo","Acerca da demo","À propos de la démo","Über die Demo","Om demoen","Tentang Demo","Om demoen","Om demon","Over de demo","Giới thiệu về bản demo","Tentang Demo","데모 안내","О демоверсии","Про демоверсію","700009","CollectionEvent","Demo 说明标题；20 种语言已本地化"
